Family	Subfamily	Name	PFAM ID
A1	A1A	pepsin A 	PF00026
A1	A1A	pepsin A 	PF14543
A1	A1B	nepenthesin	PF00026
A1	A1B	nepenthesin	PF14543
A1	A1B	nepenthesin	PF14541
A2	A2A	HIV-1 retropepsin	PF00077
A2	A2A	HIV-1 retropepsin	PF12382
A2	A2B	Ty3 transposon peptidase	PF12384
A2	A2C	Gypsy transposon peptidase	PF00077
A2	A2D	Osvaldo retrotransposon peptidase	PF00077
A2	A2D	Osvaldo retrotransposon peptidase	PF13650
A2	A2D	Osvaldo retrotransposon peptidase	PF13975
A3	A3A	cauliflower mosaic virus-type peptidase	PF00077
A3	A3A	cauliflower mosaic virus-type peptidase	PF02160
A3	A3A	cauliflower mosaic virus-type peptidase	PF13650
A3	A3B	bacilliform virus peptidase	PF02160
A5	null	thermopsin	PF05317
A8	null	signal peptidase II	PF01252
A9	null	spumapepsin	PF03539
A11	A11A	Copia transposon peptidase 	PF01021
A11	A11A	Copia transposon peptidase 	PF13976
A11	A11B	Ty1 transposon peptidase	PF01021
A22	A22A	presenilin 1	PF01080
A22	A22A	presenilin 1	PF06550
A22	A22B	impas 1 peptidase	PF04258
A22	A22B	impas 1 peptidase	PF06550
A24	A24A	type 4 prepilin peptidase 1	PF01478
A24	A24B	FlaK peptidase	PF01478
A25	null	gpr peptidase	PF03418
A26	null	omptin	PF01278
A28	A28A	DNA-damage inducible protein 1	PF00077
A28	A28A	DNA-damage inducible protein 1	PF09668
A28	A28B	skin SASPase	PF00077
A28	A28B	skin SASPase	PF09668
A28	A28B	skin SASPase	PF13650
A28	A28B	skin SASPase	PF13975
A31	null	HybD peptidase	PF01750
A32	null	PerP peptidase	PF13650
A36	null	sporulation factor SpoIIGA	PF03419
A37	null	sso1175 g.p. 	null
C1	C1A	papain	PF00112
C1	C1B	bleomycin hydrolase	PF00112
C1	C1B	bleomycin hydrolase	PF03051
C2	C2A	calpain-2	PF00648
C3	C3A	poliovirus-type picornain 3C	PF00548
C3	C3B	enterovirus picornain 2A	PF00947
C3	C3C	foot-and-mouth disease virus picornain 3C	PF00548
C3	C3C	foot-and-mouth disease virus picornain 3C	PF12381
C3	C3D	cowpea mosaic comovirus-type picornain 3C	PF00548
C3	C3E	hepatitis A virus-type picornain 3C	PF00548
C3	C3F	parechovirus picornain 3C	PF00548
C3	C3G	rice tungro spherical virus-type peptidase 	PF12381
C3	C3H	grapevine fanleaf-type nepovirus picornain 3C	null
C4	null	nuclear-inclusion-a peptidase	PF00863
C5	null	adenain	PF00770
C6	null	potato virus Y-type helper component peptidase	PF00851
C7	null	chestnut blight fungus virus p29 peptidase	PF01830
C8	null	chestnut blight fungus virus p48 peptidase	PF03569
C9	null	sindbis virus-type nsP2 peptidase	PF01707
C10	null	streptopain	PF01640
C11	C11A	clostripain	PF03415
C11	C11B	PNT1 peptidase	PF03415
C12	null	ubiquitinyl hydrolase-L1	PF01088
C13	null	legumain	PF01650
C14	C14A	caspase-1	PF00656
C14	C14B	metacaspase Yca1	PF00656
C15	null	pyroglutamyl-peptidase I 	PF01470
C15	null	pyroglutamyl-peptidase I 	PF06162
C16	C16A	murine hepatitis coronavirus papain-like peptidase 1 	PF01831
C16	C16B	murine hepatitis coronavirus papain-like peptidase 2	PF08715
C18	null	hepatitis C virus peptidase 2	PF01538
C19	null	ubiquitin-specific peptidase 14	PF00443
C19	null	ubiquitin-specific peptidase 14	PF13423
C21	null	tymovirus peptidase	PF05381
C23	null	carlavirus peptidase	PF05379
C24	null	rabbit hemorrhagic disease virus 3C-like peptidase	PF03510
C25	null	gingipain RgpA	PF01364
C26	null	gamma-glutamyl hydrolase	PF00117
C26	null	gamma-glutamyl hydrolase	PF01174
C26	null	gamma-glutamyl hydrolase	PF07685
C26	null	gamma-glutamyl hydrolase	PF07722
C26	null	gamma-glutamyl hydrolase	PF09825
C27	null	rubella virus peptidase	PF05407
C28	null	foot-and-mouth disease virus L-peptidase	PF05408
C30	null	porcine transmissible gastroenteritis virus-type main peptidase	PF05409
C31	null	porcine reproductive and respiratory syndrome arterivirus-type cysteine peptidase alpha	PF05410
C32	null	equine arteritis virus-type cysteine peptidase	PF05411
C33	null	equine arteritis virus Nsp2-type cysteine peptidase	PF05412
C36	null	beet necrotic yellow vein furovirus-type papain-like peptidase	PF05415
C37	null	calicivirin	PF05416
C39	null	bacteriocin-processing peptidase 	PF03412
C39	null	bacteriocin-processing peptidase 	PF13529
C40	null	dipeptidyl-peptidase VI	PF00877
C40	null	dipeptidyl-peptidase VI	PF05382
C42	null	beet yellows virus-type papain-like peptidase	PF05533
C44	null	amidophosphoribosyltransferase precursor	PF00310
C44	null	amidophosphoribosyltransferase precursor	PF00733
C44	null	amidophosphoribosyltransferase precursor	PF12481
C44	null	amidophosphoribosyltransferase precursor	PF13230
C44	null	amidophosphoribosyltransferase precursor	PF13522
C44	null	amidophosphoribosyltransferase precursor	PF13537
C45	null	acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase precursor	PF03417
C46	null	hedgehog protein	PF01079
C47	null	staphopain A 	PF05543
C48	null	Ulp1 peptidase	PF02902
C49	null	Strawberry mottle virus peptidase	null
C50	null	separase	PF03568
C51	null	D-alanyl-glycyl peptidase	PF05257
C53	null	pestivirus Npro peptidase 	PF05550
C54	null	autophagin-1 	PF03416
C55	null	YopJ protein	PF03421
C56	null	PfpI peptidase	PF01965
C56	null	PfpI peptidase	PF13278
C56	null	PfpI peptidase	PF13507
